"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.259436428E0,1.486073852E0,-1.988308668E0,-8.038919449E0,8.413442384E0
1.277539942E0,1.496932983E0,-2.560856581E0,-3.089704514E0,4.283114377E0
1.295644619E0,6.680530310E-1,-1.365628958E0,4.147238731E0,4.417106111E0
1.313746731E0,2.869552374E-1,2.028264523E0,9.121727943E0,9.348910148E0
1.331849392E0,2.188832521E0,3.553683281E0,1.163020802E1,1.235643117E1
1.349955777E0,4.231948376E0,4.799068928E0,1.394564629E1,1.534345137E1
1.368057033E0,4.420707703E0,2.327550411E0,1.603102875E1,1.679148684E1
1.386160855E0,5.220045090E0,-1.551942825E-1,1.631347084E1,1.712898966E1
1.404252468E0,6.542436600E0,-1.030671835E0,1.497347927E1,1.637286910E1
1.422368557E0,6.494380951E0,-1.496561766E0,1.222948265E1,1.392755998E1
1.440471034E0,5.341300964E0,-1.539828539E0,7.425756454E0,9.275905715E0
1.458564906E0,3.815826178E0,-1.194011688E0,2.124908447E0,4.527850399E0
1.476675259E0,2.429360867E0,-6.373908520E-1,-1.839267731E0,3.113031819E0
1.494782069E0,1.458370209E0,-3.824975491E-1,-3.968531609E0,4.245278692E0
1.512887478E0,8.982391357E-1,-8.340837955E-1,-5.739555359E0,5.868988417E0
1.530983363E0,7.958133221E-1,-1.395926237E0,-5.993166924E0,6.204835105E0
1.549080165E0,9.929820299E-1,-2.120898008E0,-4.875423431E0,5.408694418E0
1.567195950E0,1.287251830E0,-2.291927338E0,-4.475169182E0,5.190095124E0
1.585298489E0,1.341730356E0,-1.837935209E0,-5.072794437E0,5.559810211E0
1.603401942E0,9.390906096E-1,-1.663077593E0,-6.288993359E0,6.572606463E0
1.621502528E0,4.489929676E-1,-1.419695497E0,-7.457168102E0,7.604372827E0
1.639612942E0,5.195760727E-2,-1.546989202E0,-7.559888840E0,7.716721743E0
1.657711147E0,5.624028444E-1,-1.093783617E0,-6.827103615E0,6.937002474E0
1.675815211E0,1.385455966E0,-4.006080627E-1,-5.422369003E0,5.610887689E0
1.693920864E0,1.521650434E0,-3.033173084E-1,-2.995520592E0,3.373509307E0
1.712014797E0,1.140998363E0,-4.668209553E-1,-5.137004852E-1,1.335547550E0
1.730121242E0,5.208348036E-1,4.142916203E-2,1.099387169E0,1.217225294E0
1.748217800E0,4.961669445E-1,1.424160719E0,3.787524223E0,4.076733390E0
1.766332972E0,1.729645729E-1,1.827918291E0,1.036583424E1,1.052718963E1
1.784436795E0,7.199718952E-1,-3.990900517E-2,1.930872536E1,1.932218484E1
1.802540492E0,3.590932846E0,-2.083569050E0,2.810924911E1,2.841418562E1
1.820643153E0,5.643115520E0,-3.960532188E0,3.271281433E1,3.343140424E1
1.838746731E0,5.901270866E0,-5.295135975E0,3.202573013E1,3.299258786E1
1.856851223E0,5.891750336E0,-4.035416603E0,2.668936348E1,2.762823614E1
1.874953518E0,5.847119808E0,-4.566192627E-1,1.895121384E1,1.983798924E1
1.893056971E0,4.628172874E0,1.351759672E0,1.290024853E1,1.377184267E1
1.911160305E0,3.450196266E0,1.678658724E0,8.815904617E0,9.614672309E0
1.929265041E0,2.644309282E0,1.183849096E0,4.119499207E0,5.036282754E0
1.947354275E0,2.090743542E0,3.624606133E-1,-1.596322060E0,2.655339973E0
1.965471766E0,2.626778364E0,4.642319679E-2,-7.063704967E0,7.536447940E0
1.983574795E0,4.242423058E0,-5.644288063E-1,-9.514101982E0,1.043239521E1
2.001667079E0,4.411164761E0,-2.700503826E0,-9.900337219E0,1.116994953E1
2.019781093E0,3.495200634E0,-4.474421501E0,-1.006402016E1,1.155514504E1
