"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.087324583E-1,4.501273587E-1,7.713486090E-1,-1.784644477E0,1.995632537E0
6.186634584E-1,4.045595685E-1,3.851584339E-1,-1.611303184E0,1.705377792E0
6.285934583E-1,7.075269811E-2,3.161595351E-1,-1.451168413E0,1.486893593E0
6.385244584E-1,-5.428474613E-2,6.236093500E-1,-1.667531179E0,1.781150103E0
6.484554583E-1,4.036253297E-1,8.943126306E-1,-1.505522375E0,1.797027020E0
6.583854583E-1,9.895335142E-1,1.183234666E0,-7.953084522E-1,1.735435503E0
6.683164584E-1,7.657175211E-1,1.135857309E0,-4.920958221E-1,1.455559496E0
6.782474583E-1,1.600170963E-1,6.681689340E-1,-6.686548376E-1,9.587254494E-1
6.881774584E-1,-2.613008847E-1,3.486115819E-1,-9.949820960E-1,1.086184864E0
6.981084583E-1,-3.768551684E-1,2.123515767E-1,-8.138838869E-1,9.216940878E-1
7.080394584E-1,-1.524614704E-1,1.136672410E-1,-3.660631818E-1,4.125130236E-1
7.179694583E-1,-1.599709763E-1,3.002559856E-1,-5.260897797E-1,6.265100370E-1
7.279004584E-1,-2.585081083E-1,4.563629025E-1,-8.462072951E-1,9.955703527E-1
7.378314583E-1,-1.444984397E-1,4.067790985E-1,-8.186674941E-1,9.255082387E-1
7.477624583E-1,1.322631410E-1,2.944616872E-1,-6.941042590E-1,7.654945761E-1
7.576924583E-1,2.390577840E-1,1.241521758E-1,-4.004494876E-1,4.826201187E-1
7.676234583E-1,-4.683568574E-2,-1.359641361E-1,2.205949813E-1,2.633286417E-1
7.775544584E-1,-2.057233923E-1,-1.035389864E-1,5.863424134E-1,6.299522693E-1
7.874844583E-1,-6.820199646E-2,-1.307022268E-1,3.895467693E-1,4.165108280E-1
7.974154584E-1,3.722512901E-2,-2.385541195E-1,-2.429214048E-1,3.424975724E-1
8.073464583E-1,4.897300386E-1,-4.894025946E-1,-5.138673449E-1,8.622123047E-1
8.172764584E-1,1.098821191E0,-9.761762810E-1,-3.641347700E-1,1.514239833E0
8.272074583E-1,1.393582986E0,-1.298215776E0,-2.652349645E-1,1.922963163E0
8.371384584E-1,1.540088190E0,-1.611262254E0,-9.266550422E-2,2.230834951E0
8.470684583E-1,1.747328716E0,-1.892576476E0,1.331761837E-2,2.575884454E0
8.569994584E-1,1.785788485E0,-1.918830475E0,-4.477914691E-2,2.621632330E0
8.669304583E-1,1.857813756E0,-2.017958322E0,-9.148495138E-2,2.744448439E0
8.768604583E-1,2.303727099E0,-2.356154258E0,-3.719308627E-1,3.316165557E0
