"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.235557083E-1,-8.545465940E-1,-2.729920562E0,3.102453103E0,4.219944480E0
6.335467083E-1,-6.063638645E-1,-2.375126719E0,2.667728407E0,3.622937885E0
6.435377083E-1,-7.457663096E-1,-1.955402908E0,2.308058571E0,3.115590199E0
6.535287083E-1,-1.105568147E0,-1.650030901E0,1.995302700E0,2.815335818E0
6.635197083E-1,-1.296574609E0,-1.455756869E0,1.682100686E0,2.574839121E0
6.735117083E-1,-1.222185162E0,-1.321897292E0,1.303122175E0,2.222448295E0
6.835027083E-1,-1.049938176E0,-1.328574812E0,9.591924584E-1,1.946158107E0
6.934937083E-1,-8.719275887E-1,-1.356599640E0,6.099593174E-1,1.724143460E0
7.034847083E-1,-7.337667999E-1,-1.352771760E0,3.635798693E-1,1.581327124E0
7.134757083E-1,-7.211678043E-1,-1.305673753E0,1.105942369E-1,1.495693163E0
7.234667083E-1,-8.404412095E-1,-1.250907708E0,-1.004691982E-1,1.510366042E0
7.334577083E-1,-1.003835365E0,-1.284945228E0,-1.199579680E-1,1.634979998E0
7.434497083E-1,-1.372019917E0,-1.272900256E0,-5.017027974E-2,1.872226154E0
7.534407083E-1,-1.669594223E0,-1.122962955E0,-3.986923993E-2,2.012505957E0
7.634317083E-1,-1.551708362E0,-1.060131334E0,-5.070728803E-1,1.946484059E0
7.734227083E-1,-1.614152240E0,-1.088750677E0,-9.059254932E-1,2.147455818E0
7.834137083E-1,-1.706800349E0,-1.183221656E0,-1.567854863E0,2.602181736E0
7.934047083E-1,-1.646346571E0,-1.113548280E0,-2.181856946E0,2.951431269E0
8.033957083E-1,-1.536006249E0,-1.039037796E0,-2.693939136E0,3.270508035E0
8.133867083E-1,-1.464492317E0,-8.976817963E-1,-3.052962270E0,3.503019979E0
8.233787083E-1,-1.543671949E0,-6.198244473E-1,-3.076282135E0,3.497229933E0
8.333697083E-1,-1.310159591E0,-5.540452447E-1,-2.997377468E0,3.317793842E0
8.433607083E-1,-1.173189295E0,-5.569345001E-1,-2.537462382E0,2.850484959E0
8.533517083E-1,-1.355424057E0,-7.463799749E-1,-2.066640485E0,2.581716548E0
8.633427083E-1,-1.562638709E0,-9.213021355E-1,-1.720216931E0,2.499956729E0
8.733337083E-1,-1.713699332E0,-1.052466292E0,-1.377907478E0,2.437843251E0
8.833247083E-1,-1.776130931E0,-1.201215219E0,-1.176265077E0,2.445640738E0
8.933167083E-1,-1.585066727E0,-1.670544980E0,-9.462321049E-1,2.489681156E0
9.033077083E-1,-1.501451836E0,-2.041957926E0,-6.851720524E-1,2.625530523E0
9.132987083E-1,-1.525447347E0,-1.949137324E0,-1.694872760E0,2.999786591E0
9.232897083E-1,-1.118005467E0,-2.232896414E0,-1.584531122E0,2.957448478E0
9.332807083E-1,-7.982162726E-1,-1.919323103E0,-1.993377796E0,2.880018304E0
