"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.245175000E-1,-4.514635205E-2,1.176835181E0,2.913082838E-1,1.213194029E0
6.345585000E-1,8.275740643E-2,-1.392775193E0,-6.529815953E-2,1.396758883E0
6.445985000E-1,6.805488417E-2,-3.311935451E0,-4.260292288E-1,3.339917484E0
6.546395000E-1,-1.684711468E-1,-4.768453481E0,-7.583791924E-1,4.831321779E0
6.646805000E-1,-4.804695474E-1,-5.649040065E0,-1.017415597E0,5.760003398E0
6.747215000E-1,-8.232177973E-1,-5.963364744E0,-1.190196141E0,6.136446322E0
6.847615000E-1,-1.374592984E0,-5.532009214E0,-1.286926118E0,5.843698370E0
6.948025000E-1,-1.776874697E0,-4.015043253E0,-1.006984237E0,4.504650182E0
7.048435000E-1,-1.770177003E0,-2.305438433E0,-5.618918426E-1,2.960455275E0
7.148835000E-1,-1.591535210E0,-1.006909831E0,-9.385723986E-2,1.885646020E0
7.249245000E-1,-1.140890007E0,-1.129804856E-1,4.167852925E-1,1.219878920E0
7.349655000E-1,-5.710110140E-1,3.785697913E-1,9.190524924E-1,1.146309796E0
7.450055000E-1,-8.230266664E-3,5.194648844E-1,1.417525288E0,1.509731580E0
7.550465000E-1,4.209606430E-1,3.453932744E-1,1.756615849E0,1.839076838E0
7.650875000E-1,7.027294868E-1,1.781553054E-1,1.903951650E0,2.037302120E0
7.751285000E-1,1.047877471E0,2.455292630E-1,2.036373543E0,2.303290910E0
7.851685000E-1,1.400892006E0,3.616649061E-1,2.178225825E0,2.614950795E0
7.952095000E-1,1.731837395E0,4.684771639E-1,2.291713264E0,2.910443489E0
8.052505000E-1,1.999832538E0,4.645185989E-1,2.379179424E0,3.142547126E0
8.152905000E-1,2.124189074E0,3.198824573E-1,2.416869407E0,3.233537032E0
8.253315000E-1,2.157700928E0,8.299830258E-2,2.447448006E0,3.263826551E0
8.353725000E-1,2.211928591E0,-1.577514464E-1,2.545868340E0,3.376234473E0
8.454125000E-1,2.315771925E0,-3.761665857E-1,2.657076534E0,3.544623621E0
8.554535000E-1,2.418408101E0,-5.394652855E-1,2.745122738E0,3.698029122E0
8.654945000E-1,2.553191977E0,-5.389273417E-1,2.860132792E0,3.871639387E0
8.755345000E-1,2.699482296E0,-5.577197081E-1,2.972444941E0,4.053848155E0
8.855755000E-1,2.741070617E0,-6.624012405E-1,3.048344431E0,4.152667493E0
8.956165000E-1,2.720481694E0,-8.894340062E-1,3.134064320E0,4.244345964E0
