max,min,ptp,mean,median,var,skew,kurt,rms,zero,Label
18.9338234,-16.24327506,35.17709846,0.166124713,0.091096842,"0    22.364374
dtype: float64",[0.2922602],[1.63262525],4.732015528,0,Jump
19.09530595,-12.81509462,31.91040057,0.095176494,-0.172211903,"0    14.36223
dtype: float64",[1.28124711],[7.55358374],3.79094823,0,Jump
19.33885535,-52.76553133,72.10438668,0.323125899,-0.152512341,"0    32.086048
dtype: float64",[-2.65857676],[24.50767694],5.673663608,0,Jump
19.78954119,-56.68362423,76.47316542,-0.1137133,0.072378882,"0    33.595266
dtype: float64",[-4.57701256],[36.61890688],5.797257668,0,Jump
20.47019919,-15.57833905,36.04853824,-0.061085529,-0.254420832,"0    54.936932
dtype: float64",[0.53169012],[0.51129345],7.412196927,0,Jump
21.83090708,-13.04750507,34.87841215,-0.419682878,-0.278683268,"0    26.558627
dtype: float64",[0.61792015],[3.51298923],5.170566744,0,Jump
22.16328153,-16.8413926,39.00467413,-0.42288854,-0.571851405,"0    16.972187
dtype: float64",[0.23559271],[5.49396877],4.14137919,0,Jump
22.49522329,-14.83726294,37.33248623,-0.393762343,-4.224461574,"0    104.681889
dtype: float64",[0.53690369],[-1.14203406],10.23899104,0,Jump
23.19180676,-61.61688266,84.80868942,0.190506599,0.964301573,"0    78.802455
dtype: float64",[-2.6284963],[11.69976576],8.879118609,0,Jump
23.50986957,-3.750863711,27.26073328,0.02386957,-0.209677353,"0    4.846083
dtype: float64",[4.51141259],[39.28487299],2.201511471,0,Jump
23.72369289,-14.98500922,38.70870211,0.093314698,-0.077547528,"0    15.116572
dtype: float64",[2.25487862],[16.4418401],3.889123238,0,Jump
24.30329229,-5.34447439,29.64776668,0.093077359,-0.246704846,"0    7.996369
dtype: float64",[4.52970855],[31.31530118],2.829316613,0,Jump
24.98251188,-16.44204297,41.42455485,-0.08284522,-0.231816958,"0    47.325225
dtype: float64",[0.7164939],[2.77738767],6.879831999,0,Jump
25.39908623,-67.03269542,92.43178165,0.667336371,1.552723147,"0    74.891088
dtype: float64",[-4.04972415],[24.47308238],8.679655839,0,Jump
25.68592491,-20.25540289,45.9413278,0.591160393,0.316298078,"0    25.424719
dtype: float64",[0.41837266],[2.3111292],5.07682866,0,Jump
26.05701728,-13.24437498,39.30139226,-0.280653055,-4.019726581,"0    82.288022
dtype: float64",[1.04621816],[0.11321411],9.075615029,0,Jump
26.24770901,-19.77744213,46.02515114,-0.12998249,-0.044733831,"0    19.040395
dtype: float64",[0.80480341],[17.6980081],4.365465705,0,Jump
26.5252857,-32.55266576,59.07795146,0.907011786,1.12240747,"0    44.664248
dtype: float64",[-1.09815439],[4.61345811],6.744399032,0,Jump
27.0130347,-16.45602249,43.46905719,-0.073018118,-3.524844852,"0    117.817726
dtype: float64",[0.6390463],[-0.71177193],10.85463302,0,Jump
27.40847722,-13.55628066,40.96475788,-0.226967779,-4.526122645,"0    104.511678
dtype: float64",[0.91632545],[-0.27874455],10.22561453,0,Jump
28.10341178,-15.29851821,43.40192999,0.299886086,-1.355866692,"0    111.808754
dtype: float64",[0.60830081],[-0.55358595],10.5782175,0,Jump
28.15142911,-27.14046658,55.29189569,0.125606574,0.181544333,"0    25.893144
dtype: float64",[0.1296029],[4.54331424],5.090080692,0,Jump
28.64515163,-73.68100768,102.3261593,0.083319003,-0.136334557,"0    49.786199
dtype: float64",[-4.09210303],[38.96152735],7.056425518,0,Jump
28.7064094,-13.23219406,41.93860346,-0.01220108,-2.265178892,"0    95.995239
dtype: float64",[0.72723476],[-0.4474576],9.797723611,0,Jump
28.74176868,-54.31816355,83.05993223,0.741087215,0.281530296,"0    63.612234
dtype: float64",[-1.87311361],[10.60193561],8.010083921,0,Jump
28.7853702,-12.74824925,41.53361945,0.290423591,-0.054758005,"0    15.645442
dtype: float64",[3.56470558],[21.67332752],3.966079695,0,Jump
28.91951001,-17.89049886,46.81000887,-0.259808768,-0.196760561,"0    18.639445
dtype: float64",[1.36772168],[20.61391269],4.325152641,0,Jump
29.91427809,-18.79377206,48.70805015,0.619384792,0.293404036,"0    63.661323
dtype: float64",[0.93941975],[1.63468918],8.002809534,0,Jump
29.97727132,-37.15197566,67.12924698,0.785066481,0.010501088,"0    99.367428
dtype: float64",[0.41340232],[-0.16502812],9.999187836,0,Jump
30.216378,-60.99751283,91.21389083,0.306813219,1.197433715,"0    89.895226
dtype: float64",[-3.00781595],[15.70573954],9.486272215,0,Jump
30.30353192,-16.48565501,46.78918693,-0.026828718,-0.411382611,"0    60.786243
dtype: float64",[0.95863044],[2.34454689],7.796599452,0,Jump
30.56931828,-19.11276457,49.68208285,-0.211420882,-5.871360268,"0    192.617885
dtype: float64",[0.70783291],[-0.81076553],13.88029479,0,Jump
30.61886992,-12.89704569,43.51591561,0.117057295,-5.298086674,"0    132.361136
dtype: float64",[1.19153073],[0.18138459],11.50542646,0,Jump
30.83377614,-61.0427235,91.87649964,1.310663804,1.91081862,"0    56.765627
dtype: float64",[-2.70401351],[18.28273145],7.647448349,0,Jump
30.88768513,-14.85811879,45.74580392,0.39238556,-2.246428333,"0    109.752739
dtype: float64",[0.86988926],[-0.15945212],10.48363988,0,Jump
31.13701275,-14.27099636,45.40800911,0.007827186,-0.842416253,"0    84.517825
dtype: float64",[1.24297533],[1.53655994],9.193360969,0,Jump
32.01021722,-24.67625577,56.68647299,-0.327503998,-1.283963481,"0    106.596896
dtype: float64",[0.7572273],[1.06833492],10.3297703,0,Jump
32.23758971,-15.11630494,47.35389465,0.084330561,-0.735830282,"0    83.605434
dtype: float64",[1.22580588],[1.45598429],9.143989596,0,Jump
32.37542028,-18.34771955,50.72313983,-0.121618521,-0.642949016,"0    94.210022
dtype: float64",[1.17681657],[1.88310662],9.706946628,0,Jump
32.56793869,-18.3320993,50.90003799,0.03730302,-0.290059903,"0    68.290477
dtype: float64",[0.81848866],[1.75196139],8.263889429,0,Jump
32.76769594,-14.29330816,47.0610041,0.510240037,-0.294733583,"0    69.493023
dtype: float64",[1.18312899],[1.89931386],8.351848196,0,Jump
32.8479712,-13.49612919,46.34410039,0.018411082,-0.296447694,"0    17.723832
dtype: float64",[3.68738819],[28.87670666],4.210008403,0,Jump
33.01801992,-18.9957419,52.01376182,-0.269000176,-5.574307387,"0    175.18762
dtype: float64",[0.81474372],[-0.58028148],13.23857926,0,Jump
33.40291874,-16.99594035,50.39885909,0.149264311,-5.018262322,"0    161.043169
dtype: float64",[0.76173064],[-0.63527065],12.69115632,0,Jump
33.45610268,-18.0608341,51.51693678,-0.20367609,0.233191638,"0    18.50343
dtype: float64",[1.60997821],[21.15630102],4.306380612,0,Jump
33.48877926,-20.21399993,53.70277919,-0.014243431,-4.263086234,"0    167.972394
dtype: float64",[0.96356701],[-0.13608241],12.96042427,0,Jump
33.79398754,-19.42947082,53.22345836,-0.092107545,-0.435600317,"0    69.50753
dtype: float64",[1.32708311],[3.55175184],8.337626368,0,Jump
33.92576507,-18.68627684,52.61204191,0.484573389,-0.518410339,"0    124.548017
dtype: float64",[0.91960186],[0.59949236],11.17062345,0,Jump
33.92600598,-18.18291344,52.10891942,-0.158346272,-5.218340593,"0    177.641325
dtype: float64",[0.8263691],[-0.43539026],13.32915594,0,Jump
34.11352618,-16.28182692,50.3953531,0.268413089,-5.134754937,"0    185.982395
dtype: float64",[0.8166232],[-0.5370356],13.64017743,0,Jump
34.2847771,-18.41560689,52.70038399,-0.458743175,-3.890832605,"0    120.733867
dtype: float64",[1.01209874],[0.41265765],10.99746847,0,Jump
34.92548224,-19.94938301,54.87486525,-0.379903675,-7.503750266,"0    218.794936
dtype: float64",[0.93300229],[-0.48547415],14.79659632,0,Jump
35.07236664,-14.85218036,49.924547,0.261146066,-6.497677756,"0    167.678831
dtype: float64",[1.14553632],[-0.05239598],12.95171911,0,Jump
35.11751416,-19.23086429,54.34837845,-0.31778085,-0.010118022,"0    60.13001
dtype: float64",[1.45055768],[5.68948877],7.760862984,0,Jump
35.4705246,-57.86011209,93.33063669,0.049065926,-0.491119374,"0    131.04154
dtype: float64",[0.19825191],[2.52473047],11.44744284,0,Jump
36.05947721,-18.99157167,55.05104888,0.149732247,-1.037122979,"0    165.681008
dtype: float64",[0.99011523],[0.26974783],12.87258433,0,Jump
